SampleID	1CMET2-PWY	ARGSYN-PWY	ARGSYNBSUB-PWY	P461-PWY	P562-PWY	P621-PWY	PANTO-PWY	PANTOSYN-PWY	PENTOSE-P-PWY	PEPTIDOGLYCANSYN-PWY	PHOSLIPSYN-PWY	POLYAMINSYN3-PWY	POLYAMSYN-PWY	ARO-PWY	POLYISOPRENSYN-PWY	PPGPPMET-PWY	PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	PRPP-PWY
16Snem1	3696.0657	3698.8327	4119.3435	945.776	1060.0679	122.621	3615.2337	3719.0768	3051.5916	3883.2609	4407.5566	744.9406	1357.2311	4356.2956	4013.1012	2790.1187	2706.0535	3335.8155
16Snem100	2389.9064	2606.6932	2849.8948	146.219	533.4529	0	2364.3272	2493.1498	1232.0851	2300.6999	2788.4645	989.8193	1016.3883	2925.5052	2481.8335	1183.673	1452.6002	2151.8012
16Snem101	4036.0676	4498.3523	4474.0209	1620.8331	1426.0818	501.7587	4259.3396	4373.2926	3662.3569	4552.1123	4815.5133	0	2061.0279	4498.707	4244.3925	3085.995	2908.9342	4374.0805
16Snem102	1872.929	2409.7989	2517.9378	135.2921	294.3585	0	1813.155	1712.6659	2469.701	2181.3237	2541.6923	494.1417	1237.9337	2285.3274	1858.3808	1415.3275	976.2567	1666.5172
16Snem103	4899.0498	4740.174	4657.0519	919.3931	199.5137	1020.4024	4882.9366	4947.571	4749.7669	5082.7853	5581.8264	1353.0013	1763.4063	5415.9304	4880.1018	3038.8915	3633.8818	4577.2534
16Snem105	4002.6937	3879.5597	4431.468	1132.8961	141.9247	0	4339.2033	4263.1605	1992.1541	4041.4993	4975.9699	870.9131	1202.0169	4390.0934	3901.9267	3176.0486	4583.9709	3979.2569
16Snem106	8017.1804	7886.9188	8413.2125	0	0	5078.6667	8996.2132	6750.9779	7129.7118	8006.3835	9037.1422	1069.4253	1057.9051	10313.2103	8520.6245	7912.2122	15387.3418	6659.7678
16Snem108	3011.4898	2911.6398	3130.1471	2378.4506	575.2297	199.2159	3065.7969	3134.8852	3839.9007	3696.56	4215.0027	899.5959	972.5378	3311.269	3397.9999	2405.4215	1465.8876	3744.2289
16Snem109	3406.7719	2775.1548	3011.6864	1047.867	500.4621	0	2884.4107	2931.3156	3042.2651	3351.4691	3964.5066	673.4671	1378.2192	3724.9303	3175.7067	1968.8142	1710.1427	3080.0747
16Snem11	3835.1926	3653.2232	4177.7454	1176.2507	399.7621	0	3273.2587	3630.8534	2233.3811	3705.5653	4391.6219	1643.1237	1962.8655	4270.0293	3538.2136	1417.3557	706.1183	3062.8595
16Snem110	3058.9368	902.6171	735.7289	74.4969	0	0	1326.2262	1722.2055	10096.4956	9538.1885	10197.1751	155.6611	228.3545	640.8117	9066.0081	151.7143	91.9087	5735.75
16Snem111	4240.1464	3711.4885	3965.9871	1049.4347	432.6131	0	3015.1514	3433.0811	3909.0308	4522.9395	4795.0776	347.6665	1158.4871	4598.5891	3951.3473	1418.8355	3488.9146	4041.8918
16Snem112	2507.2599	2096.8478	2335.0623	683.1094	475.5734	306.2107	2321.9986	2269.8399	2165.995	2483.5411	3040.6836	699.1766	1048.8902	2679.6362	2396.0771	1806.338	1391.1711	2127.6769
